record_kind,id,slug,title,brotherhood,record_type,municipality,record_date,initial_status,final_status,classification,sources,entity_relations,outing_entities,bands
"event","35000000-0000-0000-0000-000000000001","aprobacion-reglas-asuncion-cantillana-1805","Aprobación de las reglas de la Hermandad de la Asunción de Cantillana","—","Fundación","—","1805-03-01","announced","held","celebración confirmada","1","1","0","0"
"event","0f528808-a102-49b1-a30c-11ec7b41a7a5","fundacion-hermandad-san-esteban-1926","Fundación de la Hermandad de San Esteban","—","Fundación","—","1926-05-09","announced","held","celebración confirmada","1","1","0","0"
"event","15000000-0000-0000-0000-000000000002","imposicion-corona-caridad-1960","Imposición de la corona de María Santísima de la Caridad","—","Coronación","—","1960-03-20","announced","held","celebración confirmada","1","1","0","0"
"event","15000000-0000-0000-0000-000000000003","reconocimiento-coronacion-caridad-2009","Reconocimiento canónico de la coronación de María Santísima de la Caridad","—","Coronación","—","2009-01-01","announced","held","celebración confirmada","1","1","0","0"
"cult_occurrence","7de2d7e1-aa9a-4e2e-ab04-2b973ada1a2e","—","Triduo en honor al Santísimo Sacramento","Hermandad de San Pablo","Triduo","Sevilla","2026-01-17","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","8a3e4c0e-f62d-474c-b625-c1185b952f47","—","Solemne Función en honor al Santísimo Sacramento","Hermandad de San Pablo","Función","Sevilla","2026-01-18","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","7d8164d9-0ce2-465f-803c-f62722ce5930","—","Solemne Quinario al Santísimo Cristo de la Fundación","Hermandad de los Negritos","Quinario","Sevilla","2026-02-21","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","bbd83ea3-c3f9-41d0-953a-6acc57f53f3a","—","Función Principal de Instituto","Hermandad de los Negritos","Función Principal","Sevilla","2026-02-22","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","cb7a8b7a-8ca0-4057-9d52-e5629a0dc5ea","—","Vía Crucis de Nuestro Padre Jesús de la Salud","Sacramental de San Pedro","Vía Crucis","Sevilla","2026-02-27","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","3c2ea3c7-9ba1-4a87-8424-e9818891a026","—","Quinario a Nuestro Padre Jesús Cautivo y Rescatado","Hermandad de San Pablo","Quinario","Sevilla","2026-02-28","announced","announced","sin evidencia posterior suficiente","2","1","0","0"
"cult_occurrence","d45d070b-ad5b-482d-af72-063711ee2729","—","Función Principal de Instituto a Nuestro Padre Jesús Cautivo y Rescatado","Hermandad de San Pablo","Función Principal","Sevilla","2026-03-01","announced","announced","sin evidencia posterior suficiente","2","1","0","0"
"cult_occurrence","25eeb132-318a-46f9-a924-e798e9dfa610","—","Solemne Función y Vía Crucis de Nuestro Padre Jesús Cautivo y Rescatado","Hermandad de San Pablo","Función","Sevilla","2026-03-06","announced","announced","sin evidencia posterior suficiente","2","1","0","0"
"cult_occurrence","2a7d8f69-2267-4f95-aa41-b439f80d10bb","—","Besamanos a Nuestro Padre Jesús Cautivo en Su Soledad","Real Hermandad Sacramental del Juncal","Besamanos","Sevilla","2026-03-06","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","8b2405f2-e020-4e7e-8afa-27cab0eadc71","—","Solemne Quinario a Nuestro Padre Jesús Cautivo en Su Soledad","Real Hermandad Sacramental del Juncal","Quinario","Sevilla","2026-03-14","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","29c0c131-8884-4af2-8556-ccc4b1d7a74a","—","Besamanos a Nuestro Padre Jesús Cautivo y Rescatado","Hermandad de San Pablo","Besamanos","Sevilla","2026-03-15","announced","announced","sin evidencia posterior suficiente","2","1","0","0"
"cult_occurrence","52611341-4011-4e2d-8c75-3d45fcdd3bd5","—","Función Solemne al Santísimo Cristo de Pasión y Muerte","Hermandad de Pasión y Muerte","Función Solemne","Sevilla","2026-03-15","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
