branch,sha,classification,basis
agent/acompanamientos-la-puebla-2026,b7094ae725fba0fe3f71907b575a10845b63ac94,merged_ancestor,merged_ancestor
agent/afina-hc009-jerarquias,cd6ca95acfa45f38aaf153ca42819b7c04e8c0a0,merged_ancestor,merged_ancestor
agent/ajustes-visuales-bandas,42e10587510865550e611243b388a931a33e085b,merged_ancestor,merged_ancestor
agent/analitica-relacional,4ea929ca44e89f04a49ebed36fcd5bf257ca072f,merged_ancestor,merged_ancestor
agent/band-direction-integrity-v2-20260822,f5461b3f8f7e1b010baaa6aa85c777fdbbf9f8d1,merged_ancestor,merged_ancestor
agent/banderin-encarnacion-imagen,64b8df4c539a26e5b0984fb1f342fb55d127f6be,merged_ancestor,merged_ancestor
agent/capataces-la-cena,ec4efe30fc42f7693b5530d23f460e5d2fd2b954,merged_ancestor,merged_ancestor
agent/cierra-hc-005-historicos,29f31dcea2cef8c833e4a1c055bde87152e9b875,merged_ancestor,merged_ancestor
agent/cierra-hc-006-acompanamientos-musicales,cb641a270ccb57e00f14a9e8bce21b40bcf43c1c,merged_ancestor,merged_ancestor
agent/cigarreras-discografia-portadas,b4c368e10404a36de26320ad7fbb0e9e83cae2df,merged_ancestor,merged_ancestor
agent/colores-banda-puebla,8ccdc792b801d6615bccc6282e79162291e69c6b,merged_ancestor,merged_ancestor
agent/compacta-ficha-bandas,fa39d047bd8e6e318676a34b6db2fb6cb08126e1,merged_ancestor,merged_ancestor
agent/completa-acompanamientos-encarnacion,e6be2a6515a9a3319dd15c2bf2346b1c08b6c174,merged_ancestor,merged_ancestor
agent/directorios-imagenes-pasos,c0707f207a52254754a35afacb5f28bb1ce6d788,merged_ancestor,merged_ancestor
agent/discografia-pistas-spotify,405f04dd4679da231dc4a2c73363c72aae9f6f14,merged_ancestor,merged_ancestor
agent/discografia-portadas-ux,28ddf7a003f38bbc93fea4448bd206c4dc884b1b,merged_ancestor,merged_ancestor
agent/el-nazareno-relacional,75fcc859455f7a44ed7edb75ec502086a6dfc24a,merged_ancestor,merged_ancestor
agent/encarnacion-banderin-calidad-direccion,010a9c4fed41d3b77a800363e862d8fc44d7bed4,merged_ancestor,merged_ancestor
agent/encarnacion-ficha-completa,ce640fa7f4aefb57fca87accf3ddc9380d1e89c9,merged_ancestor,merged_ancestor
agent/encarnacion-foto-formacion,f0cd30efd93243522ed4e41988d19ef84faeae76,merged_ancestor,merged_ancestor
agent/extraordinarias-directorio-20260822-temp,cc5f7960d1f178c0eaaa278db9446dab0c1923c2,merged_ancestor,merged_ancestor
agent/extraordinarias-integracion-20260822,65147c18bde1a68bf4e2c51ec994f936191fedaa,merged_ancestor,merged_ancestor
agent/fix-brotherhood-image-authorships,aa756ad86d38b9a05c88e0ff278c6f42631db1d9,merged_ancestor,merged_ancestor
