branch,sha,committed_at,subject,classification,behind_main,ahead_main,unique_commits,patch_equivalent_commits,duplicate_tip_branches,open_pr_at_cut,proposed_action
release/activate-public-contributions-20260831,b366063a35c8dca3e7323e86ceae756eab50209d,2026-08-31T14:31:11+02:00,Aportaciones: exige evidencia para información nueva,merged_ancestor,484,0,0,0,1,none_repo_wide,candidate_for_authorized_cleanup
agent/band-direction-integrity-20260822,52bc78a262e749b1b0fed98909fa5d3aee9b44c2,2026-08-22T17:33:58+02:00,Protege integridad relacional de Dirección de Bandas,review_required,1089,5,1,4,1,none_repo_wide,review
agent/corrige-fotos-encarnacion,a30d4f9324450bea3ccb76c8d34e01ed10facb54,2026-08-19T13:53:11+02:00,Sustituye por originales las fotos de La Encarnación,review_required,1397,4,4,0,1,none_repo_wide,review
agent/directory-card-protocol-20260823,173579710f07cc834fc775c23c5ec8d5f01bc79e,2026-08-23T20:24:57+02:00,Añade regresión del contrato visual de directorios,review_required,940,7,7,0,1,none_repo_wide,review
agent/extraordinarias-directorio-20260822,6f38c138133688edaf7d348e92835da0284ac965,2026-08-22T17:45:55+02:00,Ajusta ayuda de medidas en Extraordinarias,review_required,1131,43,43,0,1,none_repo_wide,review
agent/foto-piedad-baratillo,9337bf7e602663d59c9c34ea3310a708bcafef45,2026-08-20T16:00:32+02:00,Muestra fotografías principales en fichas de imágenes,review_required,1369,4,4,0,1,none_repo_wide,review
agent/foto-presentacion-san-benito,5bcbf18ac821337a7c4f5cbb224dd65c3ed4d240,2026-08-20T16:26:45+02:00,Relaciona la fotografía principal del Señor de la Presentación,review_required,1365,3,3,0,1,none_repo_wide,review
agent/hc-016-4-reuse,6f112aac275424234e0afa4d81dbac8b5ecda95b,2026-09-07T17:22:55+02:00,HC-016.4 · Protege la reutilización asistida de Fuentes,review_required,54,4,4,0,1,none_repo_wide,review
agent/hermandades-supabase-authority-20260822,25b3401f691725405386a91a4056858e9e508674,2026-08-22T12:38:22+02:00,Alinea RLS de autoridad con Supabase remoto,review_required,1191,16,15,0,1,none_repo_wide,review
agent/home-2-0-editorial-visual,821f3e7bd82cceed4d18133752693552fb285090,2026-08-22T20:02:46+02:00,Prefiere fotografías reales de bandas antes que sus logotipos,review_required,1064,17,17,0,1,none_repo_wide,review
agent/home-2-2-fotografia-real,a70e54e77d0367d406dd56f9a2a95a41f192cd4c,2026-08-22T20:17:46+02:00,Renueva el snapshot para fotografía editorial real,review_required,1060,4,4,0,1,none_repo_wide,review
agent/home-2-5-mobile-flow,56e0da84dd00ab85b4004a21c363378002031eb4,2026-08-23T19:52:51+02:00,Compacta Explorar y el cierre de Home en móvil,review_required,945,5,5,0,1,none_repo_wide,review
agent/importador-documental-mvp,c04287c4cb192f47dbe25b403dfcccaf028aae8b,2026-08-26T15:12:32+02:00,Reconcile document importer with final first-edition main,review_required,794,19,17,0,1,none_repo_wide,review
agent/nucleo-relacional-diagnostico,35f8125847c2da676bf473c547d70faa0701b06d,2026-08-14T18:23:24+02:00,noop,review_required,1594,3,3,0,1,none_repo_wide,review
agent/panel-agentes-workspace-20260822,599efad638b3298bd3fbbb98c52b0d584e47cfe6,2026-08-22T15:06:49+02:00,Evita enlace público inexistente en Personas,review_required,1132,11,11,0,1,none_repo_wide,review
agent/panel-entity-parity-20260822,e3e87766881d0152ab9190734fe63ea58e7a0c02,2026-08-22T13:29:34+02:00,Expone la Advocación en la ficha de Imagen,review_required,1174,18,18,0,1,none_repo_wide,review
agent/panel-front-parity-p0-20260822,9b40a5890dd40137efc77b473e200d2cfc044a48,2026-08-22T12:17:52+02:00,Añade editor completo de Personas,review_required,1198,3,3,0,1,none_repo_wide,review
agent/panel-parity-p0-20260822,0ed42310f4aee12cbfb8a190ed91e69d6a8b6ba2,2026-08-22T13:32:58+02:00,Añade navegación responsive del panel,review_required,1165,2,2,0,1,none_repo_wide,review
agent/patrimonio-asuncion,c65f241dac8b14a83bdb32d6d413a11387ed7d7e,2026-08-13T02:47:24+02:00,Alinea el catálogo patrimonial en dos columnas,review_required,1637,5,4,0,1,none_repo_wide,review
