branch,sha,committed_at,subject,behind_main,ahead_main,unique_commits,pr_disposition,pr_number,pr_url,proposed_action,cleanup_status
agent/acompanamientos-historicos-bandas,5b9d9f1c125515de478c3539280ddf3a6453dd38,2026-08-13T17:22:54+02:00,Compacta y distingue la memoria musical,1610,4,4,merged_exact_tip,12,https://github.com/nachosanchezperez-ux/base-cofrade/pull/12,candidate_for_authorized_cleanup,deleted
agent/agrupa-directorio-hermandades,0f8d7bbd10328e22d97c49256f299c2fa8ff9018,2026-09-04T17:26:34+02:00,Añade jerarquía visual al directorio agrupado,214,2,2,merged_exact_tip,598,https://github.com/nachosanchezperez-ux/base-cofrade/pull/598,candidate_for_authorized_cleanup,deleted
agent/ajusta-preview-piedad,3439140f84c27a5fff21ee5843224b7296e70f0a,2026-08-21T00:57:31+02:00,Equilibra la fotografía vertical sin alargar la vista previa,1331,3,3,merged_exact_tip,94,https://github.com/nachosanchezperez-ux/base-cofrade/pull/94,candidate_for_authorized_cleanup,deleted
agent/alinea-patrimonio-asuncion,03fc9b07b9dba6ce328b7b1aca43be0109719a59,2026-08-13T03:53:51+02:00,Actualiza el catálogo patrimonial con los últimos cambios de main,1631,4,3,merged_exact_tip,6,https://github.com/nachosanchezperez-ux/base-cofrade/pull/6,candidate_for_authorized_cleanup,deleted
agent/amparo-musica-cultos,a2463cbf151d83907e7294599ca0e310afcff5ce,2026-09-02T17:25:17+02:00,feat: load cult compositions in musical heritage,335,2,2,merged_exact_tip,557,https://github.com/nachosanchezperez-ux/base-cofrade/pull/557,candidate_for_authorized_cleanup,deleted
agent/arahal-coherencia-acompanamientos-20260902,80cd07682533ec46ef3a3f170f2d91e6516da2cd,2026-09-02T00:59:34+02:00,Evita duplicar la posición en histórico,386,7,7,merged_exact_tip,520,https://github.com/nachosanchezperez-ux/base-cofrade/pull/520,candidate_for_authorized_cleanup,deleted
agent/band-direction-integrity-20260822,52bc78a262e749b1b0fed98909fa5d3aee9b44c2,2026-08-22T17:33:58+02:00,Protege integridad relacional de Dirección de Bandas,1086,5,1,no_pr,,,preserve_unique_work,preserved
agent/bandas-discografia,600f429ae1e01be76e8f4c1e1a3a7d8c5d34f9ab,2026-08-17T20:05:05+02:00,Enlaza Discografía desde el directorio de Bandas,1491,12,12,merged_exact_tip,41,https://github.com/nachosanchezperez-ux/base-cofrade/pull/41,candidate_for_authorized_cleanup,deleted
agent/captcha-browser-min,b4aa8db79e7506061cb3237f0402181947a87291,2026-08-14T18:55:53+02:00,Descarga Chromium desde el paquete remoto temporal,1588,3,3,merged_exact_tip,24,https://github.com/nachosanchezperez-ux/base-cofrade/pull/24,candidate_for_authorized_cleanup,deleted
agent/captcha-browser-temporal,ea8bd065d64c7a327739fe9e445829d55c138458,2026-08-14T18:50:04+02:00,Añade navegador temporal para completar el CAPTCHA,1590,2,2,merged_exact_tip,22,https://github.com/nachosanchezperez-ux/base-cofrade/pull/22,candidate_for_authorized_cleanup,deleted
agent/captcha-runtime-cache,80b903422b6eea859a4a4aa8ed0fecfcc8b77c49,2026-08-14T19:02:29+02:00,Mantiene la sesión CAPTCHA mediante Runtime Cache,1587,2,2,merged_exact_tip,25,https://github.com/nachosanchezperez-ux/base-cofrade/pull/25,candidate_for_authorized_cleanup,deleted
agent/captcha-thumbnail,db58cb4b0a1fc92594a8818e55f92c20ddd1bfaf,2026-08-14T19:12:18+02:00,Devuelve una miniatura firmada del reto activo,1586,3,3,merged_exact_tip,26,https://github.com/nachosanchezperez-ux/base-cofrade/pull/26,candidate_for_authorized_cleanup,deleted
agent/cigarreras-nazarenos-20260822,a249017078dffbc736da3035c9440903ff3c757b,2026-08-22T11:57:53+02:00,Relaciona los hábitos nazarenos de Las Cigarreras,1204,2,2,merged_exact_tip,174,https://github.com/nachosanchezperez-ux/base-cofrade/pull/174,candidate_for_authorized_cleanup,deleted
agent/completa-portadas-bandas,a85a8fa2175a602a602c576d3ce0230ce0cec42d,2026-09-07T21:58:53+02:00,Protege la portada visual de Bandas,41,3,3,merged_exact_tip,700,https://github.com/nachosanchezperez-ux/base-cofrade/pull/700,candidate_for_authorized_cleanup,deleted
agent/corrige-fotos-encarnacion,a30d4f9324450bea3ccb76c8d34e01ed10facb54,2026-08-19T13:53:11+02:00,Sustituye por originales las fotos de La Encarnación,1394,4,4,no_pr,,,preserve_unique_work,preserved
agent/corrige-tunica-san-benito-desktop,d4df5d759d79100facd03ccc4db523905932c1b2,2026-08-20T18:13:46+02:00,Afina el bloque de datos del hábito único,1355,3,3,merged_exact_tip,77,https://github.com/nachosanchezperez-ux/base-cofrade/pull/77,candidate_for_authorized_cleanup,deleted
agent/directory-card-protocol-20260823,173579710f07cc834fc775c23c5ec8d5f01bc79e,2026-08-23T20:24:57+02:00,Añade regresión del contrato visual de directorios,937,7,7,no_pr,,,preserve_unique_work,preserved
agent/directory-card-protocol-final-20260823,d364374c48e5fc0faabfe419b6815ac73888d227,2026-08-23T20:28:37+02:00,Añade regresión del protocolo visual de directorios,935,6,6,merged_exact_tip,278,https://github.com/nachosanchezperez-ux/base-cofrade/pull/278,candidate_for_authorized_cleanup,deleted
agent/extraordinarias-directorio-20260822,6f38c138133688edaf7d348e92835da0284ac965,2026-08-22T17:45:55+02:00,Ajusta ayuda de medidas en Extraordinarias,1128,43,43,closed_unmerged_exact_tip,202,https://github.com/nachosanchezperez-ux/base-cofrade/pull/202,preserve_unique_work,preserved
agent/foto-piedad-baratillo,9337bf7e602663d59c9c34ea3310a708bcafef45,2026-08-20T16:00:32+02:00,Muestra fotografías principales en fichas de imágenes,1366,4,4,no_pr,,,preserve_unique_work,preserved
agent/foto-presentacion-san-benito,5bcbf18ac821337a7c4f5cbb224dd65c3ed4d240,2026-08-20T16:26:45+02:00,Relaciona la fotografía principal del Señor de la Presentación,1362,3,3,no_pr,,,preserve_unique_work,preserved
agent/habilita-panel-control,b0037134c97994bc9b90e698abdde23fca972bba,2026-08-13T01:07:02+02:00,style: adapta la ficha a uno dos o tres tipos,1636,9,8,merged_exact_tip,2,https://github.com/nachosanchezperez-ux/base-cofrade/pull/2,candidate_for_authorized_cleanup,deleted
agent/hc-016-1-preflight-determinista,7aa702fe0d905e6a56e0157f0e544b767d0e6cdf,2026-09-07T09:55:38+02:00,Protege el preflight determinista del importador,57,4,4,merged_exact_tip,686,https://github.com/nachosanchezperez-ux/base-cofrade/pull/686,candidate_for_authorized_cleanup,deleted
agent/hc-016-2-fuentes-canonicas,4b92d870c3eb1204ab7ab43d0061aea3a574605a,2026-09-07T11:05:43+02:00,Documenta HC-016.2,55,5,5,merged_exact_tip,687,https://github.com/nachosanchezperez-ux/base-cofrade/pull/687,candidate_for_authorized_cleanup,deleted
agent/hc-016-3-salud-propuesta-lote,893982f299a77fec4ccd262ff9d9181bc54ee90f,2026-09-07T14:45:33+02:00,Autocancela propuestas interrumpidas,53,5,5,merged_exact_tip,690,https://github.com/nachosanchezperez-ux/base-cofrade/pull/690,candidate_for_authorized_cleanup,deleted
agent/hc-016-4-reuse,6f112aac275424234e0afa4d81dbac8b5ecda95b,2026-09-07T17:22:55+02:00,HC-016.4 · Protege la reutilización asistida de Fuentes,51,4,4,closed_unmerged_exact_tip,693,https://github.com/nachosanchezperez-ux/base-cofrade/pull/693,preserve_unique_work,preserved
agent/hermandades-supabase-authority-20260822,25b3401f691725405386a91a4056858e9e508674,2026-08-22T12:38:22+02:00,Alinea RLS de autoridad con Supabase remoto,1188,16,15,no_pr,,,preserve_unique_work,preserved
agent/home-1-4-performance-visual,62ab565e988ccc2d6f3967005aa3a0c93695156c,2026-08-22T18:11:46+02:00,Limpia CSS legado y refuerza el ritmo visual de la Home,1063,13,13,merged_exact_tip,219,https://github.com/nachosanchezperez-ux/base-cofrade/pull/219,candidate_for_authorized_cleanup,deleted
agent/home-2-0-1-diversidad-visual,6f55a798977b8ea46223a9285bbb12e6908601bc,2026-08-22T20:02:53+02:00,Renueva el snapshot para la diversidad visual,1059,4,4,merged_exact_tip,224,https://github.com/nachosanchezperez-ux/base-cofrade/pull/224,candidate_for_authorized_cleanup,deleted
agent/home-2-0-editorial-visual,821f3e7bd82cceed4d18133752693552fb285090,2026-08-22T20:02:46+02:00,Prefiere fotografías reales de bandas antes que sus logotipos,1061,17,17,no_pr,,,preserve_unique_work,preserved
agent/home-2-0-visual-live,73935f5719f06f3635f06809b95d9e12ec217c58,2026-08-22T19:57:41+02:00,Integra el reproductor invertido en la marcha del día,1061,17,17,merged_exact_tip,223,https://github.com/nachosanchezperez-ux/base-cofrade/pull/223,candidate_for_authorized_cleanup,deleted
agent/home-2-1-hilos-visuales,ce1412d7e32bd88b0a796cee47bde4f123f3704b,2026-08-22T20:09:03+02:00,Aísla el estilo visual de Últimos hilos,1058,5,5,merged_exact_tip,225,https://github.com/nachosanchezperez-ux/base-cofrade/pull/225,candidate_for_authorized_cleanup,deleted
agent/home-2-2-fotografia-real,a70e54e77d0367d406dd56f9a2a95a41f192cd4c,2026-08-22T20:17:46+02:00,Renueva el snapshot para fotografía editorial real,1057,4,4,closed_unmerged_exact_tip,226,https://github.com/nachosanchezperez-ux/base-cofrade/pull/226,preserve_unique_work,preserved
agent/home-2-4-ultimos-hilos-jerarquia,aabc3ff6f6bff120ece0f983e3bb58c164f26210,2026-08-23T17:21:30+02:00,Integra la nueva jerarquía de Últimos hilos,960,3,3,merged_exact_tip,265,https://github.com/nachosanchezperez-ux/base-cofrade/pull/265,candidate_for_authorized_cleanup,deleted
agent/home-2-5-mobile-flow,56e0da84dd00ab85b4004a21c363378002031eb4,2026-08-23T19:52:51+02:00,Compacta Explorar y el cierre de Home en móvil,942,5,5,no_pr,,,preserve_unique_work,preserved
agent/home-2-5-mobile-flow-final,f0befb106ff99ca76c3bb0da98934698b9392255,2026-08-23T19:56:34+02:00,Compacta Explorar y el cierre de Home en móvil,941,5,5,merged_exact_tip,272,https://github.com/nachosanchezperez-ux/base-cofrade/pull/272,candidate_for_authorized_cleanup,deleted
agent/home-2-6-prioridad-contextual,e9acbb684344d4e31fe774cc0990e04fa6aa45aa,2026-08-23T20:10:27+02:00,Corrige el responsive de Explorar y elimina el adorno rojo,940,5,5,merged_exact_tip,273,https://github.com/nachosanchezperez-ux/base-cofrade/pull/273,candidate_for_authorized_cleanup,deleted
agent/home-explorar-realineado,4f645c81141577705ea271076005ef4d8d4cad9e,2026-08-23T03:41:38+02:00,Deja Explorar fuera de la rotación visual editorial,996,3,3,merged_exact_tip,243,https://github.com/nachosanchezperez-ux/base-cofrade/pull/243,candidate_for_authorized_cleanup,deleted
agent/home-extraordinarias-navegables,ec37f6ae2ed33022fae77d43373e2f7c0c53c992,2026-08-23T03:55:12+02:00,Hace navegables las Extraordinarias desde la Home,992,4,4,merged_exact_tip,246,https://github.com/nachosanchezperez-ux/base-cofrade/pull/246,candidate_for_authorized_cleanup,deleted
agent/home-hilo-ruta-mobile-20260902,728e13c2604fc7f1e7435a5b3a11268f14072654,2026-09-02T02:18:27+02:00,Aplica clase responsive a la ruta relacional,385,3,3,merged_exact_tip,521,https://github.com/nachosanchezperez-ux/base-cofrade/pull/521,candidate_for_authorized_cleanup,deleted
agent/home-hoy-explorar-1-2,80273df4a25aa3e508d7b05bd8dff790338b09d1,2026-08-22T01:11:05+02:00,Registra Tira del hilo 2.0 como buscador conversacional,1270,9,9,merged_exact_tip,136,https://github.com/nachosanchezperez-ux/base-cofrade/pull/136,candidate_for_authorized_cleanup,deleted
agent/home-marcha-rotacion-diaria,3b809292c008de9ad385c8d7189a8597abe74bc7,2026-08-20T17:47:43+02:00,Ajusta el reproductor Spotify de la marcha diaria,1356,3,3,merged_exact_tip,76,https://github.com/nachosanchezperez-ux/base-cofrade/pull/76,candidate_for_authorized_cleanup,deleted
agent/home-menu-scrollspy,b4bd3b91c02777f79fbb941291991d88cd0d2e8f,2026-08-21T19:37:23+02:00,Identifica las siguientes extraordinarias para el scrollspy,1285,3,3,merged_exact_tip,131,https://github.com/nachosanchezperez-ux/base-cofrade/pull/131,candidate_for_authorized_cleanup,deleted
agent/home-relacional-1-1,c547adf98993c9783d61d83b95efbb9ead44014c,2026-08-21T19:17:48+02:00,Afina la lectura visual de los hilos recientes,1287,6,6,merged_exact_tip,129,https://github.com/nachosanchezperez-ux/base-cofrade/pull/129,candidate_for_authorized_cleanup,deleted
agent/horarios-sedes-editorial-v2,33ec53b88975675ecec77b55c3a2d7702eeaf33a,2026-09-03T14:42:50+02:00,test: acota la comprobación de estilo de las horas,295,3,3,merged_exact_tip,570,https://github.com/nachosanchezperez-ux/base-cofrade/pull/570,candidate_for_authorized_cleanup,deleted
agent/importacion-masiva-20260822,507fcf16dac302710f4a91398568af03465a21d4,2026-08-22T22:45:29+02:00,Retira la versión provisional de la migración de importación,1010,23,23,merged_exact_tip,231,https://github.com/nachosanchezperez-ux/base-cofrade/pull/231,candidate_for_authorized_cleanup,deleted
agent/importador-documental-mvp,c04287c4cb192f47dbe25b403dfcccaf028aae8b,2026-08-26T15:12:32+02:00,Reconcile document importer with final first-edition main,791,19,17,closed_unmerged_exact_tip,49,https://github.com/nachosanchezperez-ux/base-cofrade/pull/49,preserve_unique_work,preserved
agent/incorpora-pasion-linares-esencia,3cd4d1d6d73b2155388efbc58b2020c27b3e18bb,2026-09-08T18:17:40+02:00,Protege la cronología de Pasión y Esencia,23,2,2,merged_exact_tip,708,https://github.com/nachosanchezperez-ux/base-cofrade/pull/708,candidate_for_authorized_cleanup,deleted
