municipio,slug,hermandades_existentes,hermandades_publicadas,certificadas_por_marca_operativa,incompletas_nucleares,bandas_publicadas,cultos_publicados,salidas_publicadas,agenda,igualas_ensayos,conciertos,crucetas,source_links_directos
Alcalá de Guadaíra,alcala-de-guadaira,1,1,0,0,4,9,2,12,1,0,0,15
Alcalá del Río,alcala-del-rio,1,1,0,0,0,4,2,6,0,0,0,3
Almadén de la Plata,almaden-de-la-plata,0,0,0,0,0,0,1,0,0,0,0,0
Arahal,arahal,0,0,0,0,3,0,0,0,0,0,0,8
Aznalcázar,aznalcazar,2,2,0,1,0,4,4,3,0,0,0,8
Aznalcóllar,aznalcollar,2,2,0,1,0,0,1,0,0,0,0,3
Benacazón,benacazon,1,0,0,0,0,0,1,0,0,0,0,0
Bollullos de la Mitación,bollullos-de-la-mitacion,1,1,0,1,0,0,1,3,3,0,0,1
Bormujos,bormujos,0,0,0,0,0,0,1,0,0,0,0,0
Burguillos,burguillos,0,0,0,0,1,0,0,0,0,0,0,1
Camas,camas,1,1,0,0,0,12,3,4,0,0,0,3
Cañada Rosal,canada-rosal,1,1,0,1,0,0,1,0,0,0,0,0
Cantillana,cantillana,3,3,0,1,1,6,4,0,0,0,1,13
Carrión de los Céspedes,carrion-de-los-cespedes,1,1,0,0,0,5,3,1,0,0,0,3
Castilblanco de los Arroyos,castilblanco-de-los-arroyos,1,1,0,1,0,0,0,0,0,0,0,1
Coria del Río,coria-del-rio,2,2,0,1,1,4,4,1,0,0,0,5
Dos Hermanas,dos-hermanas,4,2,0,0,4,8,4,7,0,0,0,10
Écija,ecija,1,1,0,0,1,3,1,4,0,0,0,4
El Castillo de las Guardas,el-castillo-de-las-guardas,1,1,0,1,0,0,1,0,0,0,0,2
Estepa,estepa,1,1,0,1,0,0,2,0,0,0,0,3
Gerena,gerena,3,3,3,0,1,0,1,0,0,0,0,10
Guadalcanal,guadalcanal,1,1,0,1,0,0,2,0,0,0,0,2
Huévar del Aljarafe,huevar-del-aljarafe,1,1,0,1,0,0,1,0,0,0,0,1
La Algaba,la-algaba,1,1,0,0,2,3,4,3,0,0,0,6
La Puebla del Río,la-puebla-del-rio,0,0,0,0,1,0,0,0,0,0,0,3
La Rinconada,la-rinconada,5,5,0,0,1,8,9,3,0,0,0,14
Lebrija,lebrija,1,1,0,1,1,3,1,1,0,0,1,3
Lora del Río,lora-del-rio,1,1,0,0,0,6,3,2,0,0,0,5
Los Palacios y Villafranca,los-palacios-y-villafranca,0,0,0,0,1,0,0,0,0,0,0,2
Los Rosales,los-rosales,0,0,0,0,1,0,2,0,0,0,0,1
Mairena del Alcor,mairena-del-alcor,1,1,1,1,1,0,0,0,0,0,0,2
Mairena del Aljarafe,mairena-del-aljarafe,1,1,0,0,0,6,2,1,0,0,0,6
Marchena,marchena,1,1,0,1,1,0,1,0,0,0,0,3
Marinaleda,marinaleda,1,1,0,1,0,0,1,0,0,0,0,0
Montellano,montellano,1,1,0,0,0,0,1,0,0,0,0,2
Olivares,olivares,0,0,0,0,1,0,0,0,0,0,0,7
Osuna,osuna,1,1,0,0,1,2,1,2,0,0,0,7
Paradas,paradas,1,1,0,1,0,0,1,0,0,0,0,2
Pilas,pilas,2,2,0,2,1,0,3,0,0,0,0,7
Salteras,salteras,0,0,0,0,2,0,0,0,0,0,0,14
San Juan de Aznalfarache,san-juan-de-aznalfarache,1,0,0,0,0,0,1,0,0,0,0,0
Sanlúcar la Mayor,sanlucar-la-mayor,1,1,0,1,1,0,2,0,0,0,0,3
Tocina,tocina,2,2,0,1,0,3,6,4,0,0,0,9
Tomares,tomares,1,1,0,0,0,10,8,6,0,0,0,4
Utrera,utrera,3,3,0,2,1,4,3,4,0,0,0,5
Villanueva del Ariscal,villanueva-del-ariscal,1,0,0,0,1,0,0,0,0,0,0,2
Villaverde del Río,villaverde-del-rio,1,1,0,0,0,11,6,7,0,0,0,5
