municipio,slug,hermandades_existentes,hermandades_publicadas,certificadas_por_marca_operativa,incompletas_nucleares,bandas_publicadas,cultos_publicados,salidas_publicadas,agenda,conciertos,source_links_directos
Alcalá de Guadaíra,alcala-de-guadaira,14,14,0,4,4,9,11,12,0,36
Alcalá del Río,alcala-del-rio,1,1,0,0,0,4,2,6,0,3
Almadén de la Plata,almaden-de-la-plata,0,0,0,0,0,0,1,0,0,0
Arahal,arahal,0,0,0,0,3,0,0,0,0,0
Aznalcázar,aznalcazar,2,2,0,1,0,4,4,3,0,8
Aznalcóllar,aznalcollar,2,2,0,1,0,0,1,0,0,3
Benacazón,benacazon,1,0,0,0,0,0,1,0,0,0
Bollullos de la Mitación,bollullos-de-la-mitacion,1,1,0,1,0,0,1,3,0,1
Bormujos,bormujos,0,0,0,0,0,0,1,0,0,0
Burguillos,burguillos,0,0,0,0,1,0,0,0,0,0
Camas,camas,1,1,0,0,0,12,3,4,0,3
Cañada Rosal,canada-rosal,1,1,0,1,0,0,1,0,0,0
Cantillana,cantillana,3,3,0,1,1,6,4,0,0,8
Carrión de los Céspedes,carrion-de-los-cespedes,1,1,0,0,0,5,3,1,0,3
Castilblanco de los Arroyos,castilblanco-de-los-arroyos,1,1,0,1,0,0,0,0,0,1
Coria del Río,coria-del-rio,2,2,0,1,2,4,4,1,0,4
Dos Hermanas,dos-hermanas,20,20,0,5,7,8,17,7,0,45
Écija,ecija,1,1,0,0,1,3,1,4,0,3
El Castillo de las Guardas,el-castillo-de-las-guardas,1,1,0,1,0,0,1,0,0,2
Estepa,estepa,1,1,0,1,0,0,2,0,0,3
Gerena,gerena,3,3,3,0,1,0,1,0,0,8
Guadalcanal,guadalcanal,1,1,0,1,0,0,2,0,0,2
Huévar del Aljarafe,huevar-del-aljarafe,1,1,0,1,0,0,1,0,0,1
La Algaba,la-algaba,1,1,0,0,2,3,4,3,0,3
La Puebla del Río,la-puebla-del-rio,0,0,0,0,1,0,0,0,0,0
La Rinconada,la-rinconada,5,5,0,0,1,8,9,3,0,13
Lebrija,lebrija,1,1,0,1,1,3,1,1,0,2
Lora del Río,lora-del-rio,1,1,0,0,0,6,3,2,0,5
Los Palacios y Villafranca,los-palacios-y-villafranca,0,0,0,0,1,0,0,0,0,0
Los Rosales,los-rosales,0,0,0,0,1,0,2,0,0,0
Mairena del Alcor,mairena-del-alcor,1,1,1,1,1,0,0,0,0,1
Mairena del Aljarafe,mairena-del-aljarafe,1,1,0,0,0,6,2,1,0,6
Marchena,marchena,1,1,0,1,1,0,1,0,0,1
Marinaleda,marinaleda,1,1,0,1,0,0,1,0,0,0
Montellano,montellano,1,1,0,0,0,0,1,0,0,2
Olivares,olivares,0,0,0,0,1,0,0,0,0,0
Osuna,osuna,1,1,0,0,1,2,1,2,0,6
Paradas,paradas,1,1,0,1,0,0,1,0,0,2
Pilas,pilas,4,4,4,0,2,0,8,0,0,7
Salteras,salteras,0,0,0,0,2,0,0,0,0,0
San Juan de Aznalfarache,san-juan-de-aznalfarache,1,0,0,0,0,0,1,0,0,0
Sanlúcar la Mayor,sanlucar-la-mayor,1,1,0,1,2,0,2,0,0,2
Tocina,tocina,2,2,0,1,0,3,6,4,0,9
Tomares,tomares,1,1,0,0,0,10,8,6,0,4
Utrera,utrera,3,3,0,2,3,4,3,4,0,4
Villanueva del Ariscal,villanueva-del-ariscal,1,0,0,0,1,0,0,0,0,0
Villaverde del Río,villaverde-del-rio,1,1,0,0,0,11,6,7,0,5
